Brand,Title,Rating,Author,Date,Review
Citylink,,2,,2025-04-06T17:23:01.000Z,"Dear Sir /Madam, | 902 Service | Due to SPTE changing their Rail concession scheme removing the £1 single and £1.50 return for a journey of 10 miles, the new cost of travel is at least 3 times thSee more"
Citylink,,1,,2025-04-02T15:07:33.000Z,I waited on a bus and it deliberately drove passed me. Leaving me stranded as the area I was waiting at had no other public transportation. The bus driver actually saw me. I have emailed citylink and See more
Citylink,,1,,2025-04-04T18:27:01.000Z,"If I could give no stars I would. I recently purchased a 10 journey ticket. I had used it 3 times and whilst attempting to board the bus at Maximum park, my ticket scanned and advised I had no journeySee more"
Citylink,,1,,2025-04-01T21:38:45.000Z,We get the 909 bus 2.06 every Friday from boness to Edinburgh. 9 times out of 10 it can be 10 to 30 mins late which is shocking standing that amoun of time at the bus stop. Also getting the 8.06 back See more
Citylink,Very helpful staff and drivers I like…,5,,2025-04-02T20:51:53.000Z,Very helpful staff and drivers I like to thank the girl who be stance 49 Glasgow a very kind loving person also the media fb Instagram people the help and kindness the drivers of service 923 they are. So kind and helpful
Citylink,Wish you could lower the steps on/off…,3,,2025-04-02T19:33:19.000Z,Wish you could lower the steps on/off the bus. It’s difficult for people with mobility issues to access the buses and I find myself limiting the amount of times I use citylink coaches because of this. The 902 today had myself and 4 others all using walking aids and we all struggled getting on and off some more than others.
Citylink,This is the worst coach company I have…,1,,2025-04-02T18:45:58.000Z,"This is the worst coach company I have ever used; I wish I had read the reviews on Trustpilot. |  | I travelled from Aberdeen to Edinburgh on Tuesday, 25 March 2025. On my way back, when I boarded the bus at Edinburgh bus station, the driver made some serious racist remarks. When boarding the bus, the scanner didn't work, so the driver couldn't scan the tickets; then he scanned my concession card instead of my return ticket. The driver didn't see my return ticket either, which was on the next page of the printout, and when I told him that it was on the next page and showed him, he said, ""I don't understand your foreign accent,"" not knowing that I also have a slight speech problem. |  | Also, there were two seats behind the driver, and when I kindly asked him if I could sit there instead of climbing upstairs on the bus since I have injured hands, especially the left hand which awaits surgery for a plate removal from the wrist, which is causing a lot of pain and discomfort due to surgical error, and also had a sore knee, but it is slowly getting better (I didn't dare to tell him that due to his behaviour, which I found somewhat intimidating), he said, ""Not for foreign people."" Hearing that, I was really shocked and embarrassed but didn't dare to ask him why he said that, just in case he didn't understand me and may get aggressive, so I decided to better deal with it at the Aberdeen bus station by reporting the incident to the local manager to avoid any further embarrassment or delaying the departure. |  | So, at arrival, I reported him to the stance manager at Aberdeen bus station that very day. The next day I lodged a complaint with Citylink and also asked the Stagecoach data controller for the CCTV footage on 28 March 2025, but miraculously, which I personally find incredibly astonishing, at that very particular time and location, a recording fault occurred, so the CCTV footage is UNAVAILABLE. |  | They think that I am that naive who believes anything, but not so. They can fool themselves, but despite being a foreigner, they cannot fool me. I am still waiting to hear from Citylink, but I doubt very much that my complaint will be dealt with fairly simply because they would rather protect their reputation than take action. Sadly, decency, respect and fairness have retired; this is Citylink and Stagecoach, the very brands you can certainly and wholeheartedly trust; welcome on board, but remember those seats behind the driver, which are not for foreign people."
Citylink,Smart Thinking....Citylinking,5,,2025-04-02T14:07:43.000Z,Recently come off a trip with Citylink on Friday and was surprised about how punctual they were coming from Aberdeen to Glasgow
Citylink,Comfortable journey but no Wi-Fi,3,,2025-04-01T12:33:10.000Z,"Comfortable journey, quality seating and power charging for mobile. No Wi-Fi which is poor needed these days for travelling customers"
Citylink,The  person loading the London bus…,5,,2025-03-31T12:42:11.000Z,The person loading the London bus today a guy called Justin was very very helpful I was seeing my family off to Manchester’this guy was laughing & joking ‘made my day ‘ will definitely travel with this company again ‘ from Buchanan bus station Glasgow’well done Justin thank you
