Brand,Title,Rating,Author,Date,Review,MgmtFlag
Ember,Great bus company,5,,2025-03-14T15:06:18.000Z,"I have been using Ember since they started running buses from Dundee to Edinburgh and in the past 5 years or so I've only had positive experiences. They communicate well if there is a delay. Their website lets you track buses so you get a sense of how long you will be waiting, and some reassurance they're on their way. They are generally on time unless there is huge traffic in their way. | Whenever I email to ask a question, they get back to me quickly. | I can book easily with my concession pass online. It is also easy to quickly amend a booking or cancel. |  | Also there's a comment below about bus stop location. In your ticket email you get a link to click through to your mapping app to get directions to the bus stop. |  | The new route to Aberdeen is brilliant, especially as it connects Brechin and Forfar to both Aberdeen and Edinburgh. |  | The drivers are always friendly and helpful. Also if I've travelling been with someone who uses a wheelchair, they don't ask like you've massively inconvenienced them asking for ramp access. They're polite and welcoming and helpful, which is obviously as it should be, but nice to see. And the ramp access is seamless.",No
Ember,Excellent service,5,,2025-03-12T14:50:24.000Z,"Excellent service, comfy and tidy buses. Always on time and keep updated always. Using frequently, I’m very satisfied",No
Ember,First class in every sense. And so affordable.,5,,2025-03-11T20:50:57.000Z,"An absolute easy five stars from me. Funny how most people only ever review when they have a complaint. Well... Not here. | Probably the best bus service I have ever had. Picked up and asked my name. Then a smooth journey, and dropped off at my destination. Such a pleasant journey. Wonderful driver. | Would highly recommend this service.",Yes
Ember,Cannot fault this coach service,5,,2025-01-31T15:58:39.000Z,"Cannot fault this coach service. Only discovered it in December 2024 as an alternative to my local rubbish and totally unreliable Stagecoach service, but will be using it again for convenience. Website, coaches, drivers, helpdesk, prices and overall experience all 5/5. I wish them all the best and hope they continue to expand their routes in future.",Yes
Ember,Innovative & stress-free booking system,5,,2025-01-31T00:07:45.000Z,"Ember’s website and booking system is second to none. It’s completely hassle free. You can change the date, time and/or location of your ticket any time up to 10 minute before departure at no extra cost whatsoever. Other bus booking systems I’ve used charge you a fee to do any of these things. The QR code as a ticket is great as well. |  | The drivers are friendly and the buses are comfortable and a smooth ride. I feel very lucky to live very close to a stop on Ember’s route. It makes getting in and out of town for work so much easier. I can’t wait for them to expand to more routes. |  | Can’t fault them. They pose themselves as a tech company rather than a travel company and honestly I think that’s really working out for them.",No
Ember,Disgusting experience left stranded in Dundee..Putting signs on a construction site perimeter wall. what next advertise services via courier pidgeon,1,,2025-01-10T19:25:16.000Z,"Truly shocking experience. The normal place Opposite the Malmaison they pick up everyone knows been there for at least the 2 years I have lived in Dundee. 1st day on job catch 07.35 get there 09.30 ish easy. | The website says SLESSOR gardens, so after your panicking from the normal spot to Glasgow on a construction companies perimeter wall the arrows show you the way to the magical new Ember stop. NO The wall goes 50-75m and then the final arrow comes just as the wall takes a 90 degree turn in a side road or you cross the road but what which way?? Should I guess at 07.30 in the pitch black freezing cold morning or should I walk around the whole circumference of SLESSOR gardens?? I never stood a chance . | The Ember App say on time it's 07.30 how come I can't see the bus it's open plan it's a open plan square something's wrong ..I take videos to prove I am here on time and sure enough the app says Ticket not used/No show ...Yes by ember driver | What happens if I only had that money?? I was 1.5 hours late for my job on 1st day, my flat my bills my livelihood. | If they ever do this to you go on line and contact Transport Scotland (the regulator) I have reported them with videos. |  | I loved Ember and just 6 months ago paid them best part of £400 in a month but now this went to far. | They refunded my exact ticket money no compensation or token gesture for the nightmare they put me through. | MATYAS said well no one else had a problem finding bus stop. livid!! |  | I have my receipt to prove I paid £19.60 07.12 am friday 10/1/2025 and used there service or at least I thought I was going to.",Yes
Ember,"Exceptional staff, above and beyond",5,,2024-12-30T01:07:08.000Z,"Travelled from Brechin to Edinburgh today. Drivers were exceptional, polite, helpful and go above and beyond to make experience good",No
Ember,Terrific bus service,5,,2024-12-21T14:21:59.000Z,"Terrific bus service. Great prices, very comfortable, clean and quiet. Makes other bus services seem very dated. Easy to book online and alter journeys. The Aberdeen to Edinburgh service is terrific. Forfar no longer feels cut off from the world.",No
Ember,"Quiet, clean, comfy.",5,,2024-11-27T21:51:45.000Z,"I took a very early morning service from Aberdeen, Union Street, to Edinburgh airport. |  | Quiet and comfortable. Pleasant, helpful driver. |  | I'd love to write a longer review. But I plugged my phone into the chair in front, to charge it....Adjusted the seat rake, and headrest position....and woke up 3 hours later at my destination. |  | Can't really fault Ember at all.",No
Ember,Great journey -highly recommend Ember.,5,,2024-11-16T19:38:11.000Z,"Trip from Bridge of Earn to Ingleston. Despite the bus being a little late (probably due to major roadworks), the driver is lovely. She is friendly and making everyone feel really welcome. It is a really smooth journey and the bus is warm and comfy. Great company - great experience. Will use Ember from now on.",No
Ember,Chris Corstophine Driver Professional informative,5,,2024-11-06T12:11:57.000Z,"A fab journey on the 5.27 from Kinross into Edinburgh to see a show at the Playhouse, Chris was a very patient driver with the busy roads in Edinburgh he took an interest in his passengers and took the time to let people know about the disruption the roadworks are making around Haymarket area, we had him as the driver on the 22.40 return journey too and gave all passengers a warm welcome onto the bus, definitely need more drivers like him",No
