Brand,Title,Rating,Author,Date,Review
Megabus,,5,,2025-04-01T20:28:16.000Z,"Travelled from Aberdeen to Edinburgh Airport and the driver (Geoff) was unbelievably kind and helpful. In this day and age, when there are so many people unwilling to engage and lacking basic human emSee more"
Megabus,,5,,2025-03-28T07:09:13.000Z,"Very pleased with this service, fantastic customer service will definitely be using them again. It's been a real pleasure, thank you."
Megabus,,1,,2025-04-01T12:05:18.000Z,I had purchased a ticket from Newcastle Upon Tyne to Coventry only to get an email stating that they no longer do coaches through Newcastle anymore forcing me to lose out on a lot of money that couldnSee more
Megabus,,1,,2025-03-20T15:32:48.000Z,"A very angry female bus driver called me and my friends stupid, emphasising cant we cant “*freakin* read” just because we asked for reassurance on taking the right bus which (stated on the board screeSee more"
Megabus,Useless and unhelpful.,1,,2025-03-27T11:14:22.000Z,"My son was booked on the 22.00 M20 from Finchley Road to Glasgow. He was at the bus stop 15 minutes before the bus was due. Not only did the bus not arrive, but when we tried to track the bus, we could not find it as it said that it did not exist. Even when he used his reference number on his ticket, it said that it did not exist. | When he complained to Megabus, not only did they say that the bus ran, but his ticket had been scanned at 22.04. If that had been the case, he would not have had to book to come up the following day on National Express. | They still can not admit they made a mistake. | We will NEVER use Megabus again, but if you want to be ripped off, then by all means use them."
Megabus,I recently had a disappointing…,1,,2025-03-18T03:58:03.000Z,"I recently had a disappointing experience with Megabus that I feel compelled to share. My friend and I were accused of being too young to board our journey, which was not only frustrating but also completely unfounded. We had valid tickets and were well within the age limits. It was embarrassing to be questioned in front of other passengers for something that was not true. |  | To make matters worse, we were not allowed to bring any food on board, which added to our discomfort during the trip. It's disappointing to see a company that should prioritize customer service treating its passengers this way. I expected a much better experience, and I hope that Megabus can improve its policies and staff training in the future."
Megabus,Excellent,5,,2025-03-14T18:42:34.000Z,Organised Disability seating and no trouble what so ever. Very accommodating.
Megabus,changing the simple app set up was a…,1,,2025-03-13T22:57:25.000Z,changing the simple app set up was a disaster | very confusing | very complicated | it was hard to navigate | i gave up in 3 mins
Megabus,Saved my holiday by having spaces…,4,,2025-03-09T19:06:14.000Z,Saved my holiday by having spaces available after my originally planned travel
Megabus,Swelteringly hot,2,,2025-03-09T12:00:33.000Z,"Edit: to give megabus their credit I can tell my feedback has been listened to on the heat. Unfortunately the response on this weeks bus has been for AC to be on full blast making it too cold. Its not difficult to set heating to a reasonable level so I can only assume the crew aren’t happy about the feedback. Still at least I can layer up and cold is better in that way. The crew on this bus (London to Glasgow) are also very nice and professional, compared with other services this makes all the difference. They still need to stop people leaning their seats back but otherwise this trip was better if a little packed. |  | Swelteringly hot, packed in, low legroom and tight luggage racks. No wifi. People allowed to have their devices blaring out on loudspeakers. Uncomfortable seats. Driver was pleasant but thats the only positive."
Megabus,Thieves…,1,,2025-03-05T06:37:18.000Z,"Trying to book a ticket from Aberdeen to Dundee only to see that the price has increased from £11.99 to £15.99, almost 34% increase for booking a month prior ticket. That’s daylight Robbery for a cold bus with most drivers that are disrespectful of people’s time. Sorry, you guys will lose your customers to flix bus!"
