Brand,Title,Rating,Author,Date,Review
Stagecoach Global,,1,,2025-04-04T11:36:52.000Z,Waited for the H bus in the High Street. This service is scheduled to arrive every 30 minutes. Bus was due at 13.10pm - no bus came and the information screen at the stop was not working. Waited for nSee more
Stagecoach Global,,1,,2025-04-03T15:55:08.000Z,Genuinely would give this service a 0 if I could. It’s a shame | I can’t avoid using stagecoach all together if I didn’t need to use it for work. |  | The bus is over full at st Margaret’s every singSee more
Stagecoach Global,,1,,2025-03-23T00:18:08.000Z,Currently sat on bus 4 from sidwell street going to cranbrook. | Very rude bus driver. | All the customers even commented our rude he was | I walked on bus as open doors and he was rude. | He saSee more
Stagecoach Global,,1,,2025-03-24T14:06:46.000Z,"Been double charged atleast twice. When it flashes red on tge card reader and you have to retry, it's charged me for both times. Told to send evidence but with banks no longer doing paper statements aSee more"
Stagecoach Global,Stagecoach in Liverpool is not so…brilliant,1,,2025-03-30T04:42:41.000Z,"Stagecoach in Liverpool is not so brilliant if you got to use them to get to town from Crosby, Crosby is probably the worst part of Liverpool to use buses, x2 should be made to run every 30mins not every hour what a nightmare,should be another bus route along Liverpool road Crosby to city centre missing out certain bus stops like a fast express service just starting at Crosby village maybe otbher places in Liverpool could benefit from quicker bus services , | bus maps on stagecoach website are wrong some bus routes are not mentioned like magull local bus services, even on merseytravel website some routes are not mentioned att all on the maps section not saying anything about arriva only stagecoach"
Stagecoach Global,After contacting Stagecoach about a…,1,,2025-03-23T15:37:42.000Z,After contacting Stagecoach about a driver that constantly didn't stop at a stop customer services were absolutely useless i gave the date and time of the day he was driving on one occasion but that wasn't good enough they wanted every single date and time of every single occasion now how are you ment to remember that just absolutely stupid so obviously they have no intentions of taking your complaint seriously no wonder people don't use public transport
Stagecoach Global,Worst service ever,1,,2025-03-18T22:40:46.000Z,Worst service ever. Most of busses are not turning up at all. You can wait for a bus forever. | I think they have a target amount of people to get them stressed out
Stagecoach Global,Don't stop.,1,,2025-03-15T19:41:13.000Z,"Waited for the bus. Bus came. Waved arms, bus just drove straight past. 25 minutes wait to the next bus. 51 to Selsey, waiting at the hornet, bus drove past and ignored my wife and I despite waving at about 1735. Driver, get your eyes tested."
Stagecoach Global,Exeter,1,,2025-03-08T19:28:29.000Z,"Exeter, p bus just unreliable or will just drive by stops 8/3/2025 4:50 form odean did care about his waiting passengers and just drove passed"
Stagecoach Global,Either late or don't show up at all,1,,2025-03-07T21:37:12.000Z,Either late or don't show up at all. Sort it out Aberdeen and Aberdeenshire. It's a joke! Still pathetic.
Stagecoach Global,Yet again bus didn't turn up,1,,2025-03-05T19:53:00.000Z,"Yet again bus didn't turn up , shocking service . This is why people don't want to use public bus service"
Stagecoach Global,Waited over 50 minutes for a bus that…,1,,2025-03-05T13:22:11.000Z,"Waited over 50 minutes for a bus that never turned up, 4 buses in row not turned up, really bad service, 25 from woodhouse to Sheffield also buses change at woodhouse in Sheffield and fill the bus stop up making passagers have to walk on the road to catch alternate services, very dangerous"
Stagecoach Global,Cardiff 132 cancelled 2x not turning up…,1,,2025-03-04T20:08:33.000Z,Cardiff 132 cancelled 2x not turning up useless for them to say to use more
Stagecoach Global,Another beautiful day in London,1,,2025-02-28T11:02:41.000Z,"Another beautiful day in London, no bus 173 towards becton for half hour. And 5 buses ""not in service"" passed by"
Stagecoach Global,The Basingstoke buses 8 and 76 both…,1,,2025-02-27T22:50:38.000Z,"The Basingstoke buses 8 and 76 both haven’t shown up or been on time. I’ve been waiting for an hour for either to come, one (number 8) originally came 15 minutes early regarding me missing it. So I came back a few minutes later and the next number 8 just hasn’t shown up? So whatever, I decided to wait 10 minutes longer since in 10 minutes there’s a 76. WHERE IS IT!?!? it was due 6 minutes ago and there’s nothing! It’s 9pm I’m just a teenage girl like dude I just wanna get home.. wait nvm it’s here rn"
Stagecoach Global,17 bus to Aintree Hospital,1,,2025-02-27T12:54:09.000Z,"17 bus to Aintree Hospital, Liverpool. | London Road stop. | I arrived at 09.47. I missed earlier bus by 2 minutes. That was my fault. | Three consecutive buses then failed to arrivet: | 09.57 | 10.09 | 10.21 |  | 10.33 bus arrived at 10.35 with driver looking stressed and bus overflowing. |  | There's a diversion, but it doesn't account for this level of delay"
Stagecoach Global,In Exeter Stagecoach is VERY unreliable,1,,2025-02-27T11:03:46.000Z,"In Exeter, Stagecoach buses are very unreliable. A year ago I wrote and spoke to a responsible person at Devon council about buses 'disappearing' from the app when they're late. They said they knew of the issue and was trying to fix it. Today my bus was so late it dropped off the app and others were 30-45 mins late! Now I'm late for work. Get it together!!"
Stagecoach Global,Bad driver,1,,2025-02-17T17:59:31.000Z,"1st bus cancelled, second one driver speed up as I was half way up the stairs with my 3 year old then when we were getting off obviously couldn't be assed to wait as we were coming down the stairs shut the doors untill I shouted to wait no sorry just stared at me."
Stagecoach Global,Changing the bus route for the 98,1,,2025-02-13T20:43:55.000Z,Changing the bus route for the 98. How the hell is my brother meant to get to school? You’re missing out a whole village.
Stagecoach Global,TRAUMATISED,1,,2025-02-13T17:49:06.000Z,"TRAUMATISED! Bus driver blocked my drive again, I could not get in. Driver threatened to throw hot coffee at me, then shut my foot in the door. This is assault & I will take it further. I have it on video & an independent witness."
Stagecoach Global,invisible buses - invisible service,1,,2025-02-13T08:22:41.000Z,"I can understand why this Dog of a company has a terrible rating, it's not just the fact that buses never appear leaving paying cusomers , often elderly, literally out in the cold- my recent exerience was Northampton to Market harborough - the bus simply faild to ruen up causing my son to miss a driving test - no explantion, not even a sniff of apology - disgusting attitude to passengers - they are not comeptant to provide a public service"
Stagecoach Global,Poor customer service,2,,2025-02-11T23:45:03.000Z,"Poor customer service. I wrote to Stagecoach to raise my frustration about the lack of clarity over their short journey fares, which should be £1.80. The response I received was simply to send me a screenshot of the £2.60 fare for a 3-stop journey on a 10K route (between Canterbury and Whitstable). When I responded asking for clarity re. what constitutes a short journey, I was ignored. After several days, I asked again and was still ignored. I then phoned and when I asked again what constitutes a short journey, I was told that they couldn’t tell me. I would just have to keep putting in different stops on the journey planner to find out. This is ridiculous. Stagecoach is clearly a company that does not have its customers at heart and will do their level best to charge as much as they possibly can. Their lack of responses on TP to any of the mostly poor reviews is a good indication of how little they care. Appalling."
Stagecoach Global,Fed up with Cheltenham to Gloucester 94…,1,,2025-02-10T09:41:26.000Z,Fed up with Cheltenham to Gloucester 94 Sunday service. They have a 94 service which goes via several villages and a X94 which goes via the A40 avoiding the villages. Either they prefer to concentrate on the shorter route or the drivers are getting confused and going via the short route leaving elderly people or people with young children waiting over 30 minutes for the next bus. Have asked them a couple of times to investigate but they don't seem bothered as I never hear anything. Only way to complain now a days is directed to the CEO?
Stagecoach Global,Wot dirty buses miserable staff missing…,1,,2025-02-10T00:17:50.000Z,Wot dirty buses miserable staff missing buses late buses cold buses n the cheek to raise fares on a cold morning dreadful I'm diabetic n to keep warm ride buses all over Sunday service appalling it may be Sunday people still need buses |  | Come on stagecoach clean ur buses
Stagecoach Global,Never ever use stagecoach!!,1,,2025-02-07T11:59:48.000Z,Never ever use stagecoach!!! The bus service itself is always late or dosent show up at all with no warning. Tried to get on the bus today with a bus pass I have paid 300 pound for a few months. Was told I was “out of range” and they couldn’t accept it? WTF?? Now going to be late for work again due to the stupid bus drivers. Honestly use any other service than stagecoach if you can
Stagecoach Global,I sent them a couple of issues I had…,1,,2025-02-06T09:45:36.000Z,I sent them a couple of issues I had and they didn't even bother to respond. Awful awful company.
Stagecoach Global,UNRELIABLE STAGECOACH CUMBRIA CUMBRIA CUSTOMER SERVICES,1,,2025-02-04T09:08:31.000Z,"I Rang Stagecoach Cumbria To Raise A Complaint With Them Several Weeks Ago, And Left My Details Who Then Also FALSLY PROMISED They Would Get Back To Me, But NEVER Did! This Again Goes To Show What A PATHETIC Transport System Stagecoach Really Is, And Like Some Of The Current Terrible Rail Franchise's With It's Ongoing Useless Performances To It's Customers, And Profiteering At Our Expense, Stagecoach Cumbria Should Now Go Back Into PUBLIC OWNERSHIP, Hopefully By UK's New Government."
Stagecoach Global,Many thanks.,5,,2025-01-30T14:00:16.000Z,I wouid like to thank the driver of the 88 bus in Sheffield and a very kind fellow passenger who recently retrieved and returned the wallet my father dropped when leaving the bus near the northern General hospital. | The passenger informed the driver who stopped the bus and waited for the passenger to return my father's wallet to him. | It's gratifying to know that there are still good people in this world. | Thanks again from myself and my father.
Stagecoach Global,Double fiasco in one day,2,,2025-01-29T13:46:52.000Z,"I really try hard to give constructive feedback, but I can't. I feel generous and I am giving 2 starts instead of one. |  | 28 January 2025 7.16 X18 bus from Leamington to Coventry was cancelled. I already mentioned this in a previous review. On the return journey, same day, the 16.33 x18 bus there was a 20-mins delay. There is a systemic issue that Stagecoach do not want to fix. You can't keep hiding the problem behind the ""external factors"". Taxi company era earning a lot of money..."
Stagecoach Global,Openly holding rural customers in contempt,1,,2025-01-26T20:21:00.000Z,"Despite the COVID fund and an increased stipend from the Scottish Government Stagecoach has steadfastly refused to reinstate most the rural services they cancelled during the lockdown. | Instead they have increased urban routes to push up the mileage rates, using that as a mechanism to reduce their rural service. | In our village it really is ridiculous, you can get one bus into town at 10:38 and you have to return at 12:18, otherwise you are stranded. There are simply no other buses and, should wish to go any further than the local town, it would need to be an overnight trip. | Stagecoach's contempt for rural customers is absolutely jaw-dropping, they seem to treat us as little more than an annoying inconvenience and have no interest in improving the service they offer us, they are seemingly content to leave us as second-class citizens for whom travel is an undeserved luxury."
Stagecoach Global,Inconsiderable and Unsafe  On the 24th January at 9:30 pm I…,1,,2025-01-26T02:46:19.000Z,"On the 24th January at 9:30 pm I boarded bus 19 from Liverpool City centre to kirkby right before getting to the Stagecoach garage/bus stop everyone had gone down I was the only one left in the bus the driver checked his camera for the top level and the down level and saw that I was the only one left, he went back on the road and turn right then I ask him where he's going and he said he's not going to Kirkby again that I should get down and cross back and go wait for another bus, this is about 10pm, I cross the road to the stagecoach bus stop and waited for over 30minute before another bus 19 came, that was inconsiderable and dangerous for me as a woman or anyone else to be treated like that."
Stagecoach Global,FRAUD,1,,2025-01-21T09:27:39.000Z,"Stagecoach is attempting to coerce people into buying tickets when they already have them. The latest scam is the key word on the app screen not refreshing, which results in drivers forcing people to buy more tickets, even if they have a valid weekly or monthly ticket. Fraudulent behaviour, Stagecoach. Stop it."
Stagecoach Global,How can you cut kelty off for hours at…,1,,2025-01-17T22:18:37.000Z,How can you cut kelty off for hours at a time?
Stagecoach Global,Stagecoach really needs to improve!,1,,2025-01-16T12:41:10.000Z,"Stagecoach really needs to improve their service. Took 2 hours to travel 7 miles using 2 different Stagecoach buses yesterday evening. One bus was 40 minutes late, the other one left 15 minutes late. This is far from the first time we have experienced late and cancelled bus services. Not good when you rely on using buses to get from A to B on a regular basis."
Stagecoach Global,If I could give less i would,1,,2025-01-06T16:53:55.000Z,"If I could give less i would. Thee most shocking service in all of scotland, both customer service and bus. Broken down buses, buses leaving early, be kind to our drivers? How about your drivers be kind too, respect is a two way streak."
Stagecoach Global,The Oxford tube no ventilation or WiFi…,1,,2025-01-05T20:15:22.000Z,The Oxford tube no ventilation or WiFi just increased prices | Driver says he can’t control either | Stagecoach often inflict misery on their travelers
Stagecoach Global,Stagecoach,1,,2025-01-05T19:40:55.000Z,"I was trying to make a payment to get onto the bus and it wouldn’t allow anyone’s card. As card is so requested for payment nowadays it’s the only means of payment I had on me. I then said I will book it online and proceeded to do it in front of the driver, he then mocked me because for thinking he said port instead of court, I am hard of hearing but also it is just genuinely loud on a bus. This happened on my short journey from ore to Hastings town. This bus was the 322C didn’t catch the drivers name although it was at around 10:20 this morning. Very disappointed."
Stagecoach Global,Prices are a joke and so is the communication,1,,2025-01-02T20:32:09.000Z,"Well, stagecoach bus company has managed to pull a fast one yet again!! Am I surprised.. |  | Not in the slightest!! |  | Picture the scene if you will. I go out this morning with my fare money in my hand for my weekly mega rider plus (£36.00). To my surprise I am told by the driver that my fare has gone up by £2.80 and my weekly ticket is now £38.80 |  | Now I know that prices go up every year, but its normally in April and there is also some prior warning. |  | No signs on buses, and the driver did not warn me when I was on the bus on the 30th or 31st December. |  | Have a heart stagecoach. Not every one has access to a computer or Internet, especially the elderly (an 80 plus gentleman was told this morning that he should have googled it before travelling. The driver was not having it that he didn't own a computer or a mobile phone). |  | At the end of my journey I asked the driver why there were no signs up at bus stops or on the bus. He said that they were in the office gathering dust and were not given out to anyone. If I didn't have to rely on the bus to get me to work, I really would not bother. |  | Stagecoach Cambridge PR2 user."
Stagecoach Global,Another StageCoach Fiasco,1,,2025-01-02T09:13:06.000Z,"Stagecoach. Your timetable states that the next number 9 bus from Exeter goes at 7:20am according to your timetable. Yet at the bus station it says 07:55!!! Holiday is now over, some of us do actually have to get to work. Please could you get your sorry a*** in gear and do your job? Too much to ask?"
Stagecoach Global,Not the best experience,3,,2025-01-01T13:49:27.000Z,Bus was 15 minutes late. The seats are awful They are at 90 degrees No backward slant. my neck was in agony. The driver also seemed to dislike the fact that he had to deploy a ramp for a disabled passenger
Stagecoach Global,Stagecoach Aberdeen Garbage,1,,2024-12-29T15:42:06.000Z,"1 star is being generous, what should be a reliable service - 727 Aberdeen Airport to City Centre is a pure unreliable, hit & miss, might come might not come joke of a service. Last minute cancelations are the normal now, just another example of tge mess this country is in."
Stagecoach Global,Mattlaacman was very nice and it was a…,5,,2024-12-25T22:59:20.000Z,Mattlaacman was very nice and it was a good journey from St Neots market square to longsands Road st neots
Stagecoach Global,stagecoach Newcastle needs to sort out…,1,,2024-12-23T21:24:40.000Z,"Stagecoach Newcastle needs to sort out their management all together. With no traffic buses are still not running, people are waiting 30-50 minutes with constant cancellations. It's winter u know, cold, windy and rainy. Management should use the services to get to work and home to see what a rubbish service you guys are providing. My xmas wish ll be a lot of u to get fired. Happy Xmas for the public I guess taraa"
Stagecoach Global,Worst bus service ever!,1,,2024-12-23T14:57:26.000Z,"Awful bus service, been having issues with buses for 3 years now with this particular service, the thanet service is god awful, the buses are late constantly some never even show up, constantly being made late for things, their service is well below par, I've been complaint to stagecoach for a long time now and made numerous complaints, nothing ever changes with this service if does it don't last long and right back to dysfunctional service, for someone to have to rely on such a dysfunctional service is not acceptable by any means, this company has never compensated me ever for the years of frustration, effecting my mental health, making me late all the time, losing my place on dentist lists and all sorts I'm sick fed up with having to rely on such a rubbish bus service, over 3 years the have had crap excuses for it and still continues today, I'm actually thinking of taking court action again this bus firm, to think of all the hours days weeks that add up to usbstanding around waiting for terrible service to show up, I for one am fed up of stagecoach being so unreliable to people who rely on public transport. At time some buses don't even stop but are running had so many issue and enough is enough and I'm done with the excuses of stagecoach either no fix or compensation for customer who get greatly effected by it. If I had another choice of bus I would use it and never use stagecoach again that how fed up I am of this company and it do nothing approach its clear stagecoach don't value their customers, as a vulnerable adult who relys on public transport its not acceptable to be having such issues, I'm to go back to work at the hospital and I know this service is going to cause me a lot of troubles, not looking forward to it, also buses stop running at ridiculous times in margate so if working incant get back on the bus and have to use trains which I don't want to be. Buses should still be running till normal times at night. I'm a very disgruntled customer very unhappy with how things are currently and have been for such a long time. Today again and the other day buses late then don't show at all. I for one am sick of all the standing around and time wasting i do throughout my life due to bus services being way below par for services, we rely on you do it needs to be addressed and sorted out final, even the buses constantly being stopped by crossings which had had huge influx every time you get there its down be it car or bus it adds to things already going bad, stagecoach always have the road works excuse and sorry but that don't take 3 years to get though it, the amount of not in service buses that pass when your waiting for a bus and is already late and they come at the time onenis meant to come but is out of service, common thing that, stagecoach really got to sort it out and quickly."
Stagecoach Global,Bus delayed 3 times,1,,2024-12-22T13:46:46.000Z,"Bus delayed 3 times, late to work"
Stagecoach Global,Awful buses never come I had to wait an…,1,,2024-12-22T11:43:05.000Z,Awful buses never come I had to wait an hour they are very dirty and just bad environment please just get here on time and be clean also drivers are lazy and rude to all and rolled there eyes at me I’m | Absolutely disgusted by you and I will not ever give you a good review
