Brand,Title,Rating,Author,Date,Review
Stagecoach UK,,1,,2025-04-05T22:14:14.000Z,Not happy with stagecoach bus driver tonight at 18.45 there was a lad waiting for a bus on Matlock road X17 heading to town the bus driver clearly saw him at the bus stop and drove straight past him lSee more
Stagecoach UK,,1,,2025-04-06T12:24:54.000Z,"11.05 bus from Chapelhill Mount today 06/05/25 just ran buy customers standing at Studio bus stop in Saltcoats. Driver looked and saw the passengers, one of who was a disabled lady but still proceededSee more"
Stagecoach UK,,1,,2025-04-02T17:00:45.000Z,Waited for a stagecoach x1at Chester railway station. Bus arrived 5mins late and over ran the bus shelter. Ticket machine would not accept my 85 year old mums national bus pass. Driver charged her £2See more
Stagecoach UK,,1,,2025-03-31T17:57:22.000Z,I’ve been getting on buses for 19 years and ever since Covid Northampton buses have been ridiculous some days I’m waiting 2 hours for a 16 the next there’s 5 at a time .. today I got on in town and shSee more
Stagecoach UK,just going for bus X24 Newport to…,1,,2025-04-04T18:51:56.000Z,just going for bus X24 Newport to Cwmbran driver shut door and left he had not started reversing most drivers are awful not polite and miserable bet he wouldn't of done that if an inspector was there or someone he new get decent staff
Stagecoach UK,Who manages this awful bus company?! You are deliberately trying to annoy people!!,1,,2025-04-03T10:28:52.000Z,"Always late. Always in poor conditions both mechanically and also visually. The 8 service should go from Westwood Cross to Canterbury and then Canterbury back to Westwood Cross. The 8 from Westwood to Canterbury should stop at Pilgrims Hospice Margate at 06:55 am. It did not. Technically it did turn up (well the bus that should have been the 8 service) it flew past Pilgrims Hospice Margate at speed as though it were on a formula one track and the driver was Max Verstappen at 06:50 am and I believe it said it wasn’t in service which it should have been. I mean there was a few people on it. So I checked the online times (not that those make a difference, they are never accurate either, but it did say that the next 8 bus was arriving at Pilgrims Hospice at approximately 09:18 am and 09:20 am. I was not prepared to wait from nearly 07:00 am until 09:18, basically 2 and half hours (almost) I also wasn’t really prepared to also wait for a Loop Bus into Margate Cecil Square due to having to pay out more, and let’s face it. I’m not willing to pay more for a service that’s not even remotely anywhere near decent or pleasant. So I walked myself down to Marine Terrace, Margate. There was a number 8x service stopped at Margate Cecil Square as I was approaching the seafront, Marine Terrace. The 8x should have been heading to Canterbury. Instead it was only going as far as Birchington. So I could have got that bus if it was going to Canterbury like it was supposed to. So I walked just a little bit Further to Marine Terrace. I got there at around 08:20 am. The live timetables showed an 8x service that was actually gouging to Canterbury this time at 08:30 am. No 15 minutes late. Not only that, it was overfilled leaving most passengers including myself basically stuck in the doorway part of the bus with little to hold onto. Not safe at all. The bus an all round unpleasant experience as are most of experiences with Stagecoach especially in the South East. It was rattling very loudly, creaking, wobbling, bouncing erratically and generally making the most unpleasant noises. It was also very unclean, it was clear that the bus had not not been maintained or indeed cleaned at all. As I mention this, most or indeed all of the buses that are run by Stagecoach in the South East are usually unclean and in very poor conditions. At the end of this I was very late. Should be arriving at at my destination at around 08:30 and 08:45 as usual. Looking like 10:00 am today. I have always not been on time to my destination with Stagecoach. I have had many problems at my destination due to my timekeeping skills. So Stagecoach explain yourselves to Canterbury College."
Stagecoach UK,Milk run apparently not a bus service,1,,2025-04-01T14:59:09.000Z,"Bus was 15 minutes late as is and the driver stops to buy milk from Tesco..... shame on you stagecoach, u can do much better this is unacceptable from the publics view no reason we should b late cause the driver forgot to buy milk, bus no.39 shame on you. | .... ..."
Stagecoach UK,Stagecoach are a load of idiot losers who can’t even do their job,1,,2025-03-31T09:57:23.000Z,"Multiple times I’ve asked for a paid for a return and given a single, twice a stagecoaches have not accepted a return ticket without even looking at it, most times the driving is horrible and today I was on a bus stop and the driver of the bus I was going to catch looked at me and just kept going making me late for school as thier a bunch of losers"
Stagecoach UK,The number 10a for Inverness just drove…,1,,2025-03-29T17:29:22.000Z,"The number 10a for Inverness just drove right past me without even slowing down, Forrit Brae stop opposite TECA in Aberdeen. I have already been waiting 40 minutes and now I will have to wait another hour."
Stagecoach UK,The bus drivers are not very nice  to…,1,,2025-03-28T22:36:22.000Z,The bus drivers are not very nice to customers or polite most of the time they can be a bit argumentative with us customers over C+ bus pass and I've told them that the C+ bus pass gets the support worker on the bus and they don't listen very well.
